studentCode,firstName,lastName,phoneNumber,numberOfCourses,courses,numberOfUnits,average
123,abc,def,9151234567,3,"[['a', '3', '20'], ['b', '3', '16'], ['c', '3', '18']]",9,1.00
126,try,vcb,9361234567,3,"[['d', '2', '16'], ['t', '3', '18'], ['u', '3', '20']]",8,15.00
129,erw,qwe,9371234567,2,"[['b', '3', '20'], ['d', '2', '20']]",5,2.00
124,erw,qwe,9371234567,2,"[['b', '3', '10'], ['f', '3', '8']]",5,9.00
131,yuy,try,9151234567,4,"[['a', '3', '18'], ['c', '3', '16'], ['d', '2', '20'], ['s', '3', '12']]",11,10.18
456,cvb,xcv,09157654321,2,"[['a', '3', '16'], ['e', '2', '18']]",5,16.80
789,ytt,bnb,09041234567,4,"[['c', '3', '20'], ['y', '2', '18'], ['q', '3', '20'], ['r', '4', '19']]",12,19.33
136,cxv,iuy,09037654321,3,"[['t', '3', '12'], ['o', '3', '10'], ['t', '3', '20']]",9,14.00
138,rtr,ret,09367654321,4,"[['i', '2', '15'], ['y', '3', '20'], ['q', '1', '20'], ['t', '3', '18']]",9,18.23
146,erw,dsf,0915987654,3,"[['e', '3', '20'], ['d', '3', '16'], ['y', '3', '18']]",8,18.25
178,xvb,aft,09157654321,2,"[['n', '3', '20'], ['o', '3', '18']]",6,19.00
